country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,source,new_hospital_occupancy_Count,new_icu_occupancy_Count
Czechia,CZ,CZE,10649800,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national weekly data",1.04227309433041,0.206576649326748
Romania,RO,ROU,19414458,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national weekly data",,
Estonia,EE,EST,1324820,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national daily data",0.0754819522652134,
Spain,ES,ESP,46937060,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national weekly data",0.556063801183969,0.0426102529642888
Portugal,PT,PRT,10276617,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national daily data",1.12877613323529,
Netherlands,NL,NLD,17282163,2020-W28,2020-07-05,2020-07-11,,,0.0405041892036315
Romania,RO,ROU,19414458,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national weekly data",,
Croatia,HR,HRV,4076246,2020-W27,2020-06-28,2020-07-04,,1.64366919955273,
Greece,EL,GRC,10724599,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national weekly data",,0.0279730738650461
Estonia,EE,EST,1324820,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national weekly data",,0.0754819522652134
Sweden,SE,SWE,10230185,2020-W27,2020-06-28,2020-07-04,,,0.332349805990801
Netherlands,NL,NLD,17282163,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national daily data",0.0289315637168797,
Slovenia,SI,SVN,2080908,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national weekly data",0.528615392895794,
Netherlands,NL,NLD,17282163,2020-W27,2020-06-28,2020-07-04,,,0.0289315637168797
Czechia,CZ,CZE,10649800,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national weekly data",1.0141035512404,0.244136040113429
France,FR,FRA,67012883,2020-W27,2020-06-28,2020-07-04,,,0.108934277607486
Belgium,BE,BEL,11455519,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national weekly data",0.68962392712194,
Ireland,IE,IRL,4904240,2020-W27,2020-06-28,2020-07-04,,0.163124153793452,0.122343115345089
Latvia,LV,LVA,1919968,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national weekly data",0.0520842014033567,0.0
Portugal,PT,PRT,10276617,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national daily data",1.05092950335699,
United Kingdom,UK,GBR,66647112,2020-W27,2020-06-28,2020-07-04,,2.40970681520304,
Denmark,DK,DNK,5806081,2020-W27,2020-06-28,2020-07-04,,0.189456537034189,
Spain,ES,ESP,46937060,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national weekly data",0.43675509288396,0.0255661517785733
Estonia,EE,EST,1324820,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national daily data",0.0754819522652134,
Germany,DE,DEU,83019213,2020-W27,2020-06-28,2020-07-04,"TESSy COVID-19, national daily data",0.244521710896007,
Greece,EL,GRC,10724599,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national weekly data",,0.0279730738650461
Ireland,IE,IRL,4904240,2020-W26,2020-06-21,2020-06-27,,0.163124153793452,0.0815620768967261
Denmark,DK,DNK,5806081,2020-W26,2020-06-21,2020-06-27,,0.516699646456879,
Czechia,CZ,CZE,10649800,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national weekly data",0.995323855847058,0.215966497023418
Latvia,LV,LVA,1919968,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national weekly data",0.104168402806713,0.0
Slovenia,SI,SVN,2080908,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national weekly data",0.0480559448087085,
Germany,DE,DEU,83019213,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national daily data",0.254158034478115,
Spain,ES,ESP,46937060,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national weekly data",0.394144839919671,0.0468712782607177
United Kingdom,UK,GBR,66647112,2020-W26,2020-06-21,2020-06-27,,3.41050036796793,
Cyprus,CY,CYP,875899,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national daily data",0.228336828789621,
Belgium,BE,BEL,11455519,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national weekly data",0.855482846303166,
Netherlands,NL,NLD,17282163,2020-W26,2020-06-21,2020-06-27,,,0.0347178764602556
Sweden,SE,SWE,10230185,2020-W26,2020-06-21,2020-06-27,,,0.547399680455437
Estonia,EE,EST,1324820,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national weekly data",,0.0754819522652134
Netherlands,NL,NLD,17282163,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national daily data",0.081008378407263,
Romania,RO,ROU,19414458,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national weekly data",,
Portugal,PT,PRT,10276617,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national daily data",1.25527690678752,
Croatia,HR,HRV,4076246,2020-W26,2020-06-21,2020-06-27,,1.39834543842545,
France,FR,FRA,67012883,2020-W26,2020-06-21,2020-06-27,,,0.122364531011149
Estonia,EE,EST,1324820,2020-W26,2020-06-21,2020-06-27,"TESSy COVID-19, national daily data",0.150963904530427,
Portugal,PT,PRT,10276617,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national daily data",1.32339270793102,
Denmark,DK,DNK,5806081,2020-W25,2020-06-14,2020-06-20,,0.482253003359753,
Germany,DE,DEU,83019213,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national daily data",0.289089707463259,
