country,country_code,country_code_2_digit,country_code_3_digit,cases_Count,deaths_Count,population,source,reported_date
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-03-13
Lithuania,LTU,LT,LTU,0,0,2794184,"Epidemic intelligence, national daily data",2020-02-27
Malta,MLT,MT,MLT,1,0,493559,"Epidemic intelligence, national daily data",2020-06-21
Greece,GRC,EL,GRC,52,2,10724599,"Epidemic intelligence, national daily data",2020-06-09
Hungary,HUN,HU,HUN,33,4,9772756,"Epidemic intelligence, national daily data",2020-04-01
Greece,GRC,EL,GRC,28,5,10724599,"Epidemic intelligence, national daily data",2020-04-20
Montenegro,MNE,ME,MNE,25,0,622182,"Epidemic intelligence, national daily data",2020-06-26
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-02-04
Netherlands,NLD,NL,NLD,0,0,17282163,"Epidemic intelligence, national daily data",2020-02-13
Moldova,MDA,MD,MDA,374,11,4033963,"Epidemic intelligence, national daily data",2020-06-19
Moldova,MDA,MD,MDA,72,2,4033963,"Epidemic intelligence, national daily data",2020-05-03
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-07-29
Germany,DEU,DE,DEU,1571,3,83019213,"Epidemic intelligence, national daily data",2020-08-28
Portugal,PRT,PT,PRT,451,6,10276617,"Epidemic intelligence, national daily data",2020-06-27
Switzerland,CHE,CH,CHE,0,0,8544527,"Epidemic intelligence, national daily data",2020-01-12
Switzerland,CHE,CH,CHE,546,64,8544527,"Epidemic intelligence, national daily data",2020-04-09
Norway,NOR,NO,NOR,8,0,5328212,"Epidemic intelligence, national daily data",2020-05-20
Spain,ESP,ES,ESP,363,7,46937060,"Epidemic intelligence, national daily data",2020-06-20
Spain,ESP,ES,ESP,1828,2,46937060,"Epidemic intelligence, national daily data",2020-07-28
Turkey,TUR,TR,TUR,1114,55,82003882,"Epidemic intelligence, national daily data",2020-05-12
Serbia,SRB,RS,SRB,0,0,6963764,"Epidemic intelligence, national daily data",2020-03-01
Serbia,SRB,RS,SRB,0,0,6963764,"Epidemic intelligence, national daily data",2020-01-05
Ukraine,UKR,UA,UKR,266,10,43733759,"Epidemic intelligence, national daily data",2020-04-13
Slovakia,SVK,SK,SVK,1,0,5450421,"Epidemic intelligence, national daily data",2020-05-23
United Kingdom,GBR,UK,GBR,7108,71,66647112,"Epidemic intelligence, national daily data",2020-10-01
Ukraine,UKR,UA,UKR,11532,197,43733759,"Epidemic intelligence, national daily data",2020-10-11
Portugal,PRT,PT,PRT,0,0,10276617,"Epidemic intelligence, national daily data",2020-02-04
Serbia,SRB,RS,SRB,0,0,6963764,"Epidemic intelligence, national daily data",2020-03-09
Sweden,SWE,SE,SWE,143,7,10230185,"Epidemic intelligence, national daily data",2020-03-20
Portugal,PRT,PT,PRT,278,3,10276617,"Epidemic intelligence, national daily data",2020-08-13
Russia,RUS,RU,RUS,5849,60,145934460,"Epidemic intelligence, national daily data",2020-04-25
Romania,ROU,RO,ROU,270,31,19414458,"Epidemic intelligence, national daily data",2020-05-07
